barrio_id,barrio_parent_id,barrio_label,barrio,barrio_alias,barrio_desc,barrio_zone,barrio_central,barrio_central_range,barrio_active
1,0,Ciutat Vella,Ciutat Vella,/ciutat_vella,,1,1,0,1
2,0,L'Eixample,L'Eixample,/leixample,,1,2,0,1
3,0,Sants-Montjuïc,Sants-Montjuic,/sants-montjuic,,1,3,0,1
4,0,Les Corts,Les Corts,/les_corts,,1,4,0,1
5,0,Sarrià-Sant Gervasi,Sarria-Sant Gervasi,/sarria-sant_gervasi,,1,5,0,1
6,0,Gràcia,Gracia,/gracia,,1,4,0,1
7,0,Horta-Guinardó,Horta-Guinardo,/horta-guinardo,,1,5,0,1
8,0,Nou Barris,Nou Barris,/nou_barris,,1,5,0,1
9,0,Sant Andreu,Sant Andreu,/sant_andreu,,1,5,0,1
10,0,Sant Martí,Sant Marti,/sant_marti,,1,3,0,1
11,1,El Raval,El Raval,/el_raval,,1,0,0,1
12,1,El Barri Gòtic,El Barri Gotic,/el_barri_gotic,,1,0,0,1
13,1,"Sant Pere, Santa Caterina I La Ribera","Sant Pere, Santa Caterina I La Ribera",/sant_pere_santa_caterina_i_la_ribera,,1,0,0,1
14,1,La Barceloneta,La Barceloneta,/la_barceloneta,,1,0,0,1
15,2,L'Antiga Esquerra de l'Eixample,L'Antiga Esquerra de l'Eixample,/lantiga_esquerra_de_leixample,,1,0,0,1
16,2,La Nova Esquerra de l'Eixample,La Nova Esquerra de l'Eixample,/la_nova_esquerra_de_leixample,,1,0,0,1
17,2,La Dreta de l'Eixample,La Dreta de l'Eixample,/la_dreta_de_leixample,,1,0,0,1
18,2,El Fort Pienc,El Fort Pienc,/el_fort_pienc,,1,0,0,1
19,2,La Sagrada Família,La Sagrada Familia,/la_sagrada_familia,,1,0,0,1
20,2,Sant Antoni,Sant Antoni,/sant_antoni,,1,0,0,1
21,3,La Bordeta,La Bordeta,/la_bordeta,,1,0,0,1
