"id","date_start","date_end","event_type","event_recurs","event_name","slug","location","lat","lng","location_accuracy","is_in_barcelona","url","event_notes"
"1",2022-01-14,2022-01-23,"Festa Major",true,"Festa Major de Sant Antoni 2022","festa-major-de-sant-antoni-2022","Sant Antoni Neighbourhood",41.3777838,2.1597598,2,true,"https://beteve.cat/agenda/festa-major-sant-antoni/",""
"2",2022-02-04,2022-02-06,"Open Day / Weekend",true,"Llum BCN 2022","llum-bcn-2022","Poblenou Neighbourhood",41.4033546,2.2028843,2,true,"https://www.barcelona.cat/llumbcn/en/",""
"3",2022-02-11,2022-02-13,"Festa Major",true,"Festes de Santa Eulàlia 2022","festes-de-santa-eul-lia-2022","Various - including: Palau de la Virreina / Plaça Nova / El Born Centre de Cultura i Memòria",41.3842534,2.1751129,1,true,"https://www.barcelona.cat/santaeulalia/ca",""
"4",2022-03-06,2022-03-06,"Sporting Festival / Event",true,"Barcelona Marathon 2022","barcelona-marathon-2022","Barcelona - Various",41.3873974,2.168568,3,true,"https://www.zurichmaratobarcelona.es/en/",""
"5",2022-03-09,2022-03-27,"Music Festival",true,"Terrassa Jazz Festival","terrassa-jazz-festival","Terrassa",41.5631482,2.0054917,3,false,"https://www.jazzterrassa.org/",""
"6",2022-03-19,2022-03-27,"Festa Major",true,"Festes de Sant Josep Oriol 2022","festes-de-sant-josep-oriol-2022","Plaça del Pi, Plaça Sant Felip Neri, Plaça de Sant Josep Oriol etc",41.3822911,2.1742186,1,true,"https://beteve.cat/agenda/festes-sant-josep-oriol-barcelona/",""
"7",2022-04-22,2022-05-01,"Festa Major",true,"Festa Major de la Sagrada Família 2022","festa-major-de-la-sagrada-fam-lia-2022","Sagrada Familia Neighbourhood",41.4043239,2.1746666,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"8",2022-04-29,2022-05-02,"Music Festival",true,"Roser de Maig Festival - Cerdanyola","roser-de-maig-festival-cerdanyola","Cerdanyola del Vallès (Parque del Turonet, s/n 08290 Cerdanyola del Valles)",41.4887108,2.1450551,1,false,"https://www.catalunya.com/fiesta-mayor-del-roser-de-maig-1-1-555688?language=es",""
"9",2022-05-06,2022-05-15,"Festa Major",true,"Festa Major de Navas 2022","festa-major-de-navas-2022","Navas Neighbourhood",41.4195702,2.1857308,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"10",2022-05-06,2022-05-15,"Festa Major",false,"Festa Major del Bon Pastor 2022","festa-major-del-bon-pastor-2022","Bon Pastor - Various",41.4357302,2.2008467,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"11",2022-05-07,2022-05-07,"Open Day / Weekend",true,"Poblenou Open Day","poblenou-open-day","Poblenou Neighbourhood",41.4033546,2.2028843,2,true,"https://www.poblenouurbandistrict.com/programacio-completa-del-poblenou-open-day/",""
"12",2022-05-07,2022-05-15,"Local / Neighbourhood Festival",true,"Girona Flower Festival","girona-flower-festival","Girona - Various",41.9794005,2.8214264,3,false,"https://en.costabrava.org/events/event/flower-festival",""
"13",2022-05-14,2022-05-14,"Open Day / Weekend",true,"Night of the Museums","night-of-the-museums","Barcelona - Various",41.3873974,2.168568,3,true,"https://www.barcelona.cat/lanitdelsmuseus/ca",""
"14",2022-05-17,2022-05-22,"Festa Major",true,"Festa Major de Nou Barris","festa-major-de-nou-barris","Nou Barris",41.4458428,2.1793567,2,true,"https://www.noubarris.net/web40/?p=79048",""
"15",2022-05-20,2022-05-22,"Local / Neighbourhood Festival",true,"Festes de Maig a Poblenou","festes-de-maig-a-poblenou","Poblenou - Various",41.4033546,2.2028843,2,true,"https://www.femmaig.cat/",""
"16",2022-05-27,2022-05-29,"Festa Major",true,"Festa Major de la Dreta de l’Eixample 2022","festa-major-de-la-dreta-de-l-eixample-2022","Dreta de l'Eixample",41.3941343,2.1677158,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"17",2022-06-02,2022-06-12,"Music Festival",true,"Primavera Sound 2022","primavera-sound-2022","Parc del Forum",41.4114594,2.2246577,1,true,"https://www.primaverasound.com/en/barcelona",""
