data_start,date_end,event_name,location,recurs,url,notes
14/01/2022,23/01/2022,Festa Major de Sant Antoni 2022,Sant Antoni Neighbourhood,No,https://beteve.cat/agenda/festa-major-sant-antoni/,
04/02/2022,06/02/2022,Llum BCN,Poble Nou Neighbourhood,No,https://www.barcelona.cat/llumbcn/en/,
11/02/2022,13/02/2022,Festes de Santa Eulàlia 2022,,No,https://beteve.cat/cultura/festes-majors-barcelona-barris/,
06/03/2022,06/03/2022,Barcelona Marathon,Barcelona - Various,No,https://www.zurichmaratobarcelona.es/en/,
19/03/2022,27/03/2022,Festes de Sant Josep Oriol 2022,,No,https://beteve.cat/agenda/festes-sant-josep-oriol-barcelona/,
22/04/2022,01/05/2022,Festa Major de la Sagrada Família 2022,Sagrada Familia Neighbourhood,No,https://beteve.cat/cultura/festes-majors-barcelona-barris/,
06/05/2022,15/05/2022,Festa Major del Bon Pastor 2022,,No,https://beteve.cat/cultura/festes-majors-barcelona-barris/,
06/05/2022,15/05/2022,Festa Major de Navas 2022,Navas Neighbourhood,No,https://beteve.cat/cultura/festes-majors-barcelona-barris/,
07/05/2022,07/05/2022,Poblenou Open Day,Poble Nou Neighbourhood,No,https://www.poblenouurbandistrict.com/programacio-completa-del-poblenou-open-day/,
14/05/2022,14/05/2022,Night of the Museums,Barcelona - Various,No,https://www.barcelona.cat/lanitdelsmuseus/ca,
17/05/2022,22/05/2022,Festa Major de Nou Barris,Nou Barris,No,https://www.noubarris.net/web40/?p=79048,
27/05/2022,29/05/2022,Festa Major de la Dreta de l’Eixample 2022,Dreta de l'Eixample,No,https://beteve.cat/cultura/festes-majors-barcelona-barris/,
02/06/2022,12/06/2022,Primavera Sound 2022,Parc del Forum,No,https://www.primaverasound.com/en/barcelona,
03/06/2022,12/06/2022,Festa Major de la Trinitat Vella 2022,Trinitat Vella Neighbourhood,No,https://beteve.cat/cultura/festes-majors-barcelona-barris/,
03/06/2022,15/05/2022,Festa Major de Porta 2022,Porta Neighbourhood,No,https://beteve.cat/cultura/festes-majors-barcelona-barris/,
03/06/2022,07/10/2022,Massa Crítica BCN,l'Arc de Triomf,Yes,https://barcelona.bicicritica.com/en/when-where-critical-mass-barcelona/,Check website for other dates. 1st Friday of each month
04/06/2022,15/05/2022,Festa Major del Guinardó 2022,Guinardo Neighbourhood,No,https://beteve.cat/cultura/festes-majors-barcelona-barris/,
07/06/2022,24/07/2022,10th Festival Jardins Pedralbes,"Jardins del Palau de Pedralbes Avinguda Diagonal 686, 08034 Barcelona",No,https://www.barcelona-metropolitan.com/events/10th-festival-jardins-pedralbes/?occ_dtstart=2022-06-07T00:00,
