"id","uuid","date_start","date_end","event_type","event_active","event_recurs","recurrence_rule","event_name","slug","location","lat","lng","location_accuracy","is_in_barcelona","url","event_notes"
"1","d0e24876-d2e4-4e9f-b6d5-f36d666fb29f",2022-01-14,2022-01-23,"Festa Major",true,true,"","Festa Major de Sant Antoni 2022","festa-major-de-sant-antoni-2022-2022","Sant Antoni Neighbourhood",41.3777838,2.1597598,2,true,"https://beteve.cat/agenda/festa-major-sant-antoni/",""
"2","b723a373-fcc2-4e73-92e8-7c24479fff3c",2022-02-04,2022-02-06,"Open Day / Weekend",true,true,"","Llum BCN 2022","llum-bcn-2022-2022","Poblenou Neighbourhood",41.4033546,2.2028843,2,true,"https://www.barcelona.cat/llumbcn/en/",""
"3","5ca0dec5-3dcb-47bd-b1ca-42826d671ab8",2022-02-11,2022-02-13,"Festa Major",true,true,"","Festes de Santa Eulàlia","festes-de-santa-eul-lia-2022","Various - including: Palau de la Virreina / Plaça Nova / El Born Centre de Cultura i Memòria",41.3842534,2.1751129,1,true,"https://www.barcelona.cat/santaeulalia/ca",""
"4","0e9e2d5a-5385-465c-99ff-a2d48388b051",2022-03-06,2022-03-06,"Sporting Event / Festival",true,true,"","Barcelona Marathon","barcelona-marathon-2022","Barcelona - Various",41.3873974,2.168568,3,true,"https://www.zurichmaratobarcelona.es/en/",""
"5","6db558ec-f9d6-41b7-8842-96085720e45e",2022-03-09,2022-03-27,"Music / Film Festival",true,true,"","Terrassa Jazz Festival","terrassa-jazz-festival-2022","Terrassa",41.5631482,2.0054917,3,false,"https://www.jazzterrassa.org/",""
"6","edc459c8-1bba-43d0-ac21-b8df215f8aeb",2022-03-19,2022-03-27,"Festa Major",true,true,"","Festes de Sant Josep Oriol","festes-de-sant-josep-oriol-2022","Plaça del Pi, Plaça Sant Felip Neri, Plaça de Sant Josep Oriol etc",41.3822911,2.1742186,1,true,"https://beteve.cat/agenda/festes-sant-josep-oriol-barcelona/",""
"7","d6ec217e-0de5-4235-8c8f-8b1e96496290",2022-04-22,2022-05-01,"Festa Major",true,true,"","Festa Major de la Sagrada Família 2022","festa-major-de-la-sagrada-fam-lia-2022-2022","Sagrada Familia Neighbourhood",41.4043239,2.1746666,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"8","a94e3804-3334-4313-8219-3ca1dcd8fdcc",2022-04-29,2022-05-02,"Music / Film Festival",true,true,"","Roser de Maig Festival - Cerdanyola","roser-de-maig-festival-cerdanyola-2022","Cerdanyola del Vallès (Parque del Turonet, s/n 08290 Cerdanyola del Valles)",41.4887108,2.1450551,1,false,"https://www.catalunya.com/fiesta-mayor-del-roser-de-maig-1-1-555688?language=es",""
"9","8bd00dee-a046-4c54-a53b-eddb04e9b397",2022-05-06,2022-05-15,"Festa Major",true,true,"","Festa Major de Navas","festa-major-de-navas-2022","Navas Neighbourhood",41.4195702,2.1857308,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"10","56151ae5-9486-4845-9a52-2c5bfa54bd83",2022-05-06,2022-05-15,"Festa Major",true,false,"","Festa Major del Bon Pastor","festa-major-del-bon-pastor-2022","Bon Pastor - Various",41.4357302,2.2008467,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
